CODICE_SCUOLA;denominazione;tipoDiIstruzione;CODICE_ISTITUTO;denominazioneIstituto;indirizzo;comune;provincia;cap;email;telefono;latitudine;longitudine;scuolaStatale;scuolaParitaria
RMMM85801L;"""BRUNO BUOZZI""";MM;RMIC85800G;IC VIA CASSIA 1694;VIA CASSIA, 1694 ROMA;ROMA;ROMA;00123;RMIC85800G@istruzione.it;0630890110;42.00569;12.38021;1;0
RMMM8FB018;"""DARIO PAGANO""";MM;RMIC8FB007;ICS HYPATIA;VIA POSEIDONE,66;ROMA;ROMA;00133;RMIC8FB007@istruzione.it;062014794;41.8701;12.61979;1;0
RMMM825019;"""DUCA D'AOSTA""";MM;RMIC825008;MARCELLO MASTROIANNI;VIA        ORVIETO             45;ROMA;ROMA;00182;RMIC825008@istruzione.it;067015931;41.88423;12.51735;1;0
RMMM818016;"""E. Q. VISCONTI""";MM;RMIC818005;"""ENNIO QUIRINO VISCONTI""";VIA        QUATTRO NOVEMBRE    95;ROMA;ROMA;00186;RMIC818005@istruzione.it;066791368;41.89621;12.48573;1;0
RMMM86001L;"""EDOARDO AMALDI""";MM;RMIC86000G;VIA CASSIA KM. 18,7;VIA G. GALLINA 28/30;ROMA;ROMA;00123;RMIC86000G@istruzione.it;0630892637;42.0132;12.37442;1;0
RMMM8EV015;"""G.B. PIRANESI""";MM;RMIC8EV004;I.C. VIA DAL VERME;VIA        L. DAL VERME     109;ROMA;ROMA;00176;RMIC8EV004@istruzione.it;0621701558;41.88869;12.53917;1;0
RMMM8GX012;"""G.G.BELLI""";MM;RMIC8GX001;IC PARCO DELLA VITTORIA;VIA A. MORDINI, 19;ROMA;ROMA;00195;RMIC8GX001@istruzione.it;0637500227;41.91359;12.46272;1;0
RMMM8CQ01B;"""GIOACCHINO ROSSINI""";MM;RMIC8CQ00A;IC VILLAGGIO PRENESTINO;VIA      FOSSO DELL'OSA      503;ROMA;ROMA;00132;RMIC8CQ00A@istruzione.it;062261058;41.90862;12.68138;1;0
RMTD00851A;"""LEOPOLDO PIRELLI""  RAG. SIRIO";TD;RMTD008011;"IIS ""L. PIRELLI"" ECONOMICO - LINGUISTICO";VIA ROCCA DI PAPA, 113;ROMA;ROMA;00179;RMIS00800P@istruzione.it;06121122305;41.86762;12.53334;1;0
RMPQ010009;"""MONTESSORI""";PQ;RMPQ010009;"""MONTESSORI""";VIA        LIVENZA 8;ROMA;ROMA;00198;RMPQ010009@istruzione.it;06 121124505;41.91355;12.49539;1;0
RMMM86501Q;"""NANDO MARTELLINI""";MM;RMIC86500P;NANDO MARTELLINI;VIA        VANNI              5;ROMA;ROMA;00166;RMIC86500P@istruzione.it;0666180851;41.88274;12.3592;1;0
RMMM8GU01E;"""PAOLO STEFANELLI""";MM;RMIC8GU00D;I.C. PAOLO STEFANELLI;VIA PESTALOZZI, 5;ROMA;ROMA;00168;RMIC8GU00D@istruzione.it;063052359;41.93545;12.42651;1;0
RMMM8EZ01C;"""SAN BENEDETTO""";MM;RMIC8EZ00B;VIA DEI SESAMI;VIA DEI SESAMI,20;ROMA;ROMA;00172;RMIC8EZ00B@istruzione.it;062313012;41.88401;12.57234;1;0
RMMM8FF01G;"""SETTIMIA SPIZZICHINO""";MM;RMIC8FF00E;IC POGGIALI-SPIZZICHINO;VIA  SALVATORE DI GIACOMO 13;ROMA;ROMA;00142;RMIC8FF00E@istruzione.it;065405380;41.84493;12.48571;1;0
RMRH01000T;"""TOR CARBONE - ALESSANDRO NARDUCCI""";RH;RMRH01000T;"""TOR CARBONE - ALESSANDRO NARDUCCI""";VIA DI TOR CARBONE, 53;ROMA;ROMA;00178;RMRH01000T@istruzione.it;062600;41.83307;12.53656;1;0
RMMM8CZ017;"""VIA CAROTENUTO 30""";MM;RMIC8CZ006;"""VIA CAROTENUTO 30""";VIA MARIO CAROTENUTO 30;ROMA;ROMA;00125;RMIC8CZ006@istruzione.it;065258824;41.78971;12.39178;1;0
RMRI03601E;A. DIAZ;RI;RMIS03600V;I.I.S.  J. PIAGET-V. NOBILIORE - DIAZ;VIA        ACIREALE 8;ROMA;ROMA;00182;RMIS03600V@istruzione.it;0612112226;41.88427;12.5167;1;0
RMMM8BN01N;A. ROSMINI;MM;RMIC8BN00L;"""DON ROBERTO SARDELLI""";VIA GIORGIO DEL VECCHIO 24;ROMA;ROMA;00166;RMIC8BN00L@istruzione.it;;41.89792;12.41751;1;0
RMTDOO500A;A. RUIZ I.T. A.F.M.;TD;RMTDOO500A;A. RUIZ I.T. A.F.M.;VIA DELL'IMBRECCIATO, 127;ROMA;ROMA;00100;istitutoparitarioruiz@virgilio.it;06/5584948     ;41.84992;12.44566;0;1
RMPM5R5008;A. RUIZ LICEO DELLE SCIENZE UMANE;PM;RMPM5R5008;A. RUIZ LICEO DELLE SCIENZE UMANE;VIA DELL'IMBRECCIATO 127;ROMA;ROMA;00100;istitutoparitarioruiz@virgilio.it;065584948      ;;;0;1
